Ⴁ	b AL
პოდიუმი	pʼ AN ɔ AK d AH i AJ u AK m AD i AJ
პოეზია	pʼ AN ɔ AK ɛ AJ z AG i AJ ɑ AJ
პოემა	pʼ AN ɔ AK ɛ AJ m AD ɑ AJ
პოეტი	pʼ AN ɔ AK ɛ AJ tʼ BB i AJ
პოეტურად	pʼ AN ɔ AK ɛ AJ tʼ BB u AK r BA ɑ AJ d AH
პოეტური	pʼ AN ɔ AK ɛ AJ tʼ BB u AK r BA i AJ
პოვნა	pʼ AN ɔ AK v BE n AE ɑ AJ
პოზა	pʼ AN ɔ AK z AG ɑ AJ
პოზიორი	pʼ AN ɔ AK z AG i AJ ɔ AK r BA i AJ
პოზიტივი	pʼ AN ɔ AK z AG i AJ tʼ BB i AJ v BE i AJ
პოზიტივიზმი	pʼ AN ɔ AK z AG i AJ tʼ BB i AJ v BE i AJ z AG m AD i AJ
პოზიტივისტი	pʼ AN ɔ AK z AG i AJ tʼ BB i AJ v BE i AJ s AG tʼ BB i AJ
პოზიტიური	pʼ AN ɔ AK z AG i AJ tʼ BB i AJ u AK r BA i AJ
პოზიცია	pʼ AN ɔ AK z AG i AJ t AH s AG i AJ ɑ AJ
პოინტერი	pʼ AN ɔ AK i AJ n AE tʼ BB ɛ AJ r BA i AJ
პოკერი	pʼ AN ɔ AK kʼ AM ɛ AJ r BA i AJ
პოლ	pʼ AN ɔ AK l AC
პოლარიზაცია	pʼ AN ɔ AK l AC ɑ AJ r BA i AJ z AG ɑ AJ t AH s AG i AJ ɑ AJ
პოლაროიდი	pʼ AN ɔ AK l AC ɑ AJ r BA ɔ AK i AJ d AH i AJ
პოლარული	pʼ AN ɔ AK l AC ɑ AJ r BA u AK l AC i AJ
პოლარულობა	pʼ AN ɔ AK l AC ɑ AJ r BA u AK l AC ɔ AK b AL ɑ AJ
პოლემიკა	pʼ AN ɔ AK l AC ɛ AJ m AD i AJ kʼ AM ɑ AJ
პოლემიკურად	pʼ AN ɔ AK l AC ɛ AJ m AD i AJ kʼ AM u AK r BA ɑ AJ d AH
პოლემიკური	pʼ AN ɔ AK l AC ɛ AJ m AD i AJ kʼ AM u AK r BA i AJ
პოლემისტი	pʼ AN ɔ AK l AC ɛ AJ m AD i AJ s AG tʼ BB i AJ
პოლიგამია	pʼ AN ɔ AK l AC i AJ ɡ BD ɑ AJ m AD i AJ ɑ AJ
პოლიგლოტი	pʼ AN ɔ AK l AC i AJ ɡ BD l AC ɔ AK tʼ BB i AJ
პოლიგონი	pʼ AN ɔ AK l AC i AJ ɡ BD ɔ AK n AE i AJ
პოლითეიზმი	pʼ AN ɔ AK l AC i AJ tʰ AI ɛ AJ i AJ z AG m AD i AJ
პოლითეისტური	pʼ AN ɔ AK l AC i AJ tʰ AI ɛ AJ i AJ s AG tʼ BB u AK r BA i AJ
პოლიმორფული	pʼ AN ɔ AK l AC i AJ m AD ɔ AK r BA pʰ AF u AK l AC i AJ
პოლიპი	pʼ AN ɔ AK l AC i AJ pʼ AN i AJ
პოლისპასტი	pʼ AN ɔ AK l AC i AJ s AG pʼ AN ɑ AJ s AG tʼ BB i AJ
პოლიტიკა	pʼ AN ɔ AK l AC i AJ tʼ BB i AJ kʼ AM ɑ AJ
პოლიტიკოსი	pʼ AN ɔ AK l AC i AJ tʼ BB i AJ kʼ AM ɔ AK s AG i AJ
პოლიტიკურად	pʼ AN ɔ AK l AC i AJ tʼ BB i AJ kʼ AM u AK r BA ɑ AJ d AH
პოლიტიკური	pʼ AN ɔ AK l AC i AJ tʼ BB i AJ kʼ AM u AK r BA i AJ
პოლიტკორექტულობა	pʼ AN ɔ AK l AC i AJ tʼ BB kʼ AM ɔ AK r BA ɛ AJ kʰ AB tʼ BB u AK l AC ɔ AK b AL ɑ AJ
პოლიფონია	pʼ AN ɔ AK l AC i AJ pʰ AF ɔ AK n AE i AJ ɑ AJ
პოლიფონიური	pʼ AN ɔ AK l AC i AJ pʰ AF ɔ AK n AE i AJ u AK r BA i AJ
პოლიციელი	pʼ AN ɔ AK l AC i AJ t AH s AG i AJ ɛ AJ l AC i AJ
პოლკა	pʼ AN ɔ AK l AC kʼ AM ɑ AJ
პოლკოვნიკი	pʼ AN ɔ AK l AC kʼ AM ɔ AK v BE n AE i AJ kʼ AM i AJ
პოლო	pʼ AN ɔ AK l AC ɔ AK
პოლონეზი	pʼ AN ɔ AK l AC ɔ AK n AE ɛ AJ z AG i AJ
პოლონეთი	pʼ AN ɔ AK l AC ɔ AK n AE ɛ AJ tʰ AI i AJ
პოლონეთმა	pʼ AN ɔ AK l AC ɔ AK n AE ɛ AJ tʰ AI m AD ɑ AJ
პოლონიუმი	pʼ AN ɔ AK l AC ɔ AK n AE i AJ u AK m AD i AJ
პოლონური	pʼ AN ɔ AK l AC ɔ AK n AE u AK r BA i AJ
პოლუსი	pʼ AN ɔ AK l AC u AK s AG i AJ
პომადა	pʼ AN ɔ AK m AD ɑ AJ d AH ɑ AJ
პომიდორი	pʼ AN ɔ AK m AD i AJ d AH ɔ AK r BA i AJ
პომპა	pʼ AN ɔ AK m AD pʼ AN ɑ AJ
პომპეზურად	pʼ AN ɔ AK m AD pʼ AN ɛ AJ z AG u AK r BA ɑ AJ d AH
პომპეზური	pʼ AN ɔ AK m AD pʼ AN ɛ AJ z AG u AK r BA i AJ
პომპეზურობა	pʼ AN ɔ AK m AD pʼ AN ɛ AJ z AG u AK r BA ɔ AK b AL ɑ AJ
პომპონი	pʼ AN ɔ AK m AD pʼ AN ɔ AK n AE i AJ
პონი	pʼ AN ɔ AK n AE i AJ
პონტი	pʼ AN ɔ AK n AE tʼ BB i AJ
პონტონი	pʼ AN ɔ AK n AE tʼ BB ɔ AK n AE i AJ
პონჩო	pʼ AN ɔ AK n AE t AH ʃ AG ɔ AK
პოპულარობა	pʼ AN ɔ AK pʼ AN u AK l AC ɑ AJ r BA ɔ AK b AL ɑ AJ
პოპულარულად	pʼ AN ɔ AK pʼ AN u AK l AC ɑ AJ r BA u AK l AC ɑ AJ d AH
პოპულარული	pʼ AN ɔ AK pʼ AN u AK l AC ɑ AJ r BA u AK l AC i AJ
პოპულისტი	pʼ AN ɔ AK pʼ AN u AK l AC i AJ s AG tʼ BB i AJ
პოპური	pʼ AN ɔ AK pʼ AN u AK r BA i AJ
პორნოგრაფია	pʼ AN ɔ AK r BA n AE ɔ AK ɡ BD r BA ɑ AJ pʰ AF i AJ ɑ AJ
პორტალი	pʼ AN ɔ AK r BA tʼ BB ɑ AJ l AC i AJ
პორტატული	pʼ AN ɔ AK r BA tʼ BB ɑ AJ tʼ BB u AK l AC i AJ
პორტერი	pʼ AN ɔ AK r BA tʼ BB ɛ AJ r BA i AJ
პორტი	pʼ AN ɔ AK r BA tʼ BB i AJ
პორტიერი	pʼ AN ɔ AK r BA tʼ BB i AJ ɛ AJ r BA i AJ
პორტპლედი	pʼ AN ɔ AK r BA tʼ BB pʼ AN l AC ɛ AJ d AH i AJ
პორტრეტი	pʼ AN ɔ AK r BA tʼ BB r BA ɛ AJ tʼ BB i AJ
პორტრეტისტი	pʼ AN ɔ AK r BA tʼ BB r BA ɛ AJ tʼ BB i AJ s AG tʼ BB i AJ
პორტსიგარი	pʼ AN ɔ AK r BA tʼ BB s AG i AJ ɡ BD ɑ AJ r BA i AJ
პორტუგალია	pʼ AN ɔ AK r BA tʼ BB u AK ɡ BD ɑ AJ l AC i AJ ɑ AJ
პორტუგალიამ	pʼ AN ɔ AK r BA tʼ BB u AK ɡ BD ɑ AJ l AC i AJ ɑ AJ m AD
პორტუგალიას	pʼ AN ɔ AK r BA tʼ BB u AK ɡ BD ɑ AJ l AC i AJ ɑ AJ s AG
პორტუგალიის	pʼ AN ɔ AK r BA tʼ BB u AK ɡ BD ɑ AJ l AC i AJ i AJ s AG
პორტფელი	pʼ AN ɔ AK r BA tʼ BB pʰ AF ɛ AJ l AC i AJ
პორფირი	pʼ AN ɔ AK r BA pʰ AF i AJ r BA i AJ
პოსტი	pʼ AN ɔ AK s AG tʼ BB i AJ
პოსტულატი	pʼ AN ɔ AK s AG tʼ BB u AK l AC ɑ AJ tʼ BB i AJ
პოტაში	pʼ AN ɔ AK tʼ BB ɑ AJ ʃ AG i AJ
პოტენცია	pʼ AN ɔ AK tʼ BB ɛ AJ n AE t AH s AG i AJ ɑ AJ
პოტენციურად	pʼ AN ɔ AK tʼ BB ɛ AJ n AE t AH s AG i AJ u AK r BA ɑ AJ d AH
პოტენციური	pʼ AN ɔ AK tʼ BB ɛ AJ n AE t AH s AG i AJ u AK r BA i AJ
პოტენციურობა	pʼ AN ɔ AK tʼ BB ɛ AJ n AE t AH s AG i AJ u AK r BA ɔ AK b AL ɑ AJ
პრაგმატიზმი	pʼ AN r BA ɑ AJ ɡ BD m AD ɑ AJ tʼ BB i AJ z AG m AD i AJ
პრაგმატისტი	pʼ AN r BA ɑ AJ ɡ BD m AD ɑ AJ tʼ BB i AJ s AG tʼ BB i AJ
პრაგმატულად	pʼ AN r BA ɑ AJ ɡ BD m AD ɑ AJ tʼ BB u AK l AC ɑ AJ d AH
პრაგმატული	pʼ AN r BA ɑ AJ ɡ BD m AD ɑ AJ tʼ BB u AK l AC i AJ
პრაზეოდიმიუმი	pʼ AN r BA ɑ AJ z AG ɛ AJ ɔ AK d AH i AJ m AD i AJ u AK m AD i AJ
პრაკი	pʼ AN r BA ɑ AJ kʼ AM i AJ
პრასი	pʼ AN r BA ɑ AJ s AG i AJ
პრაქტიკა	pʼ AN r BA ɑ AJ kʰ AB tʼ BB i AJ kʼ AM ɑ AJ
პრაქტიკოსი	pʼ AN r BA ɑ AJ kʰ AB tʼ BB i AJ kʼ AM ɔ AK s AG i AJ
პრაქტიკულად	pʼ AN r BA ɑ AJ kʰ AB tʼ BB i AJ kʼ AM u AK l AC ɑ AJ d AH
პრაქტიკული	pʼ AN r BA ɑ AJ kʰ AB tʼ BB i AJ kʼ AM u AK l AC i AJ
პრაღა	pʼ AN r BA ɑ AJ ɣ BC ɑ AJ
პრეამბულა	pʼ AN r BA ɛ AJ ɑ AJ m AD b AL u AK l AC ɑ AJ
პრეზენტაბელურად	pʼ AN r BA ɛ AJ z AG ɛ AJ n AE tʼ BB ɑ AJ b AL ɛ AJ l AC u AK r BA ɑ AJ d AH
პრეზიდენტი	pʼ AN r BA ɛ AJ z AG i AJ d AH ɛ AJ n AE tʼ BB i AJ
პრეზიდიუმი	pʼ AN r BA ɛ AJ z AG i AJ d AH i AJ u AK m AD i AJ
პრეისკურანტი	pʼ AN r BA ɛ AJ i AJ s AG kʼ AM u AK r BA ɑ AJ n AE tʼ BB i AJ
პრეისტორია	pʼ AN r BA ɛ AJ i AJ s AG tʼ BB ɔ AK r BA i AJ ɑ AJ
პრეისტორიული	pʼ AN r BA ɛ AJ i AJ s AG tʼ BB ɔ AK r BA i AJ u AK l AC i AJ
პრელატი	pʼ AN r BA ɛ AJ l AC ɑ AJ tʼ BB i AJ
პრელუდია	pʼ AN r BA ɛ AJ l AC u AK d AH i AJ ɑ AJ
პრემია	pʼ AN r BA ɛ AJ m AD i AJ ɑ AJ
პრემიად	pʼ AN r BA ɛ AJ m AD i AJ ɑ AJ d AH
პრემიამ	pʼ AN r BA ɛ AJ m AD i AJ ɑ AJ m AD
პრემიას	pʼ AN r BA ɛ AJ m AD i AJ ɑ AJ s AG
პრემიერა	pʼ AN r BA ɛ AJ m AD i AJ ɛ AJ r BA ɑ AJ
პრერია	pʼ AN r BA ɛ AJ r BA i AJ ɑ AJ
პრეროგატივა	pʼ AN r BA ɛ AJ r BA ɔ AK ɡ BD ɑ AJ tʼ BB i AJ v BE ɑ AJ
პრესვიტერი	pʼ AN r BA ɛ AJ s AG v BE i AJ tʼ BB ɛ AJ r BA i AJ
პრესპაპიე	pʼ AN r BA ɛ AJ s AG pʼ AN ɑ AJ pʼ AN i AJ ɛ AJ
პრესტიჟი	pʼ AN r BA ɛ AJ s AG tʼ BB i AJ ʒ AG i AJ
პრესტიჟული	pʼ AN r BA ɛ AJ s AG tʼ BB i AJ ʒ AG u AK l AC i AJ
პრეტენდენტი	pʼ AN r BA ɛ AJ tʼ BB ɛ AJ n AE d AH ɛ AJ n AE tʼ BB i AJ
პრეტენზია	pʼ AN r BA ɛ AJ tʼ BB ɛ AJ n AE z AG i AJ ɑ AJ
პრეტენზიულად	pʼ AN r BA ɛ AJ tʼ BB ɛ AJ n AE z AG i AJ u AK l AC ɑ AJ d AH
პრეტენზიული	pʼ AN r BA ɛ AJ tʼ BB ɛ AJ n AE z AG i AJ u AK l AC i AJ
პრეტორი	pʼ AN r BA ɛ AJ tʼ BB ɔ AK r BA i AJ
პრეფერანსი	pʼ AN r BA ɛ AJ pʰ AF ɛ AJ r BA ɑ AJ n AE s AG i AJ
პრეფექტი	pʼ AN r BA ɛ AJ pʰ AF ɛ AJ kʰ AB tʼ BB i AJ
პრეფექტურა	pʼ AN r BA ɛ AJ pʰ AF ɛ AJ kʰ AB tʼ BB u AK r BA ɑ AJ
პრიალა	pʼ AN r BA i AJ ɑ AJ l AC ɑ AJ
პრიალად	pʼ AN r BA i AJ ɑ AJ l AC ɑ AJ d AH
პრიალით	pʼ AN r BA i AJ ɑ AJ l AC i AJ tʰ AI
პრივილეგია	pʼ AN r BA i AJ v BE i AJ l AC ɛ AJ ɡ BD i AJ ɑ AJ
პრიზი	pʼ AN r BA i AJ z AG i AJ
პრიზმა	pʼ AN r BA i AJ z AG m AD ɑ AJ
პრიზმული	pʼ AN r BA i AJ z AG m AD u AK l AC i AJ
პრიმადონა	pʼ AN r BA i AJ m AD ɑ AJ d AH ɔ AK n AE ɑ AJ
პრიმატი	pʼ AN r BA i AJ m AD ɑ AJ tʼ BB i AJ
პრიმიტივისტი	pʼ AN r BA i AJ m AD i AJ tʼ BB i AJ v BE i AJ s AG tʼ BB i AJ
პრიმიტიულად	pʼ AN r BA i AJ m AD i AJ tʼ BB i AJ u AK l AC ɑ AJ d AH
პრიმიტიული	pʼ AN r BA i AJ m AD i AJ tʼ BB i AJ u AK l AC i AJ
პრიმიტიულობა	pʼ AN r BA i AJ m AD i AJ tʼ BB i AJ u AK l AC ɔ AK b AL ɑ AJ
პრიმუსი	pʼ AN r BA i AJ m AD u AK s AG i AJ
პრინტერი	pʼ AN r BA i AJ n AE tʼ BB ɛ AJ r BA i AJ
პრინცესა	pʼ AN r BA i AJ n AE t AH s AG ɛ AJ s AG ɑ AJ
პრინციპი	pʼ AN r BA i AJ n AE t AH s AG i AJ pʼ AN i AJ
პრინციპული	pʼ AN r BA i AJ n AE t AH s AG i AJ pʼ AN u AK l AC i AJ
პრიორიტეტი	pʼ AN r BA i AJ ɔ AK r BA i AJ tʼ BB ɛ AJ tʼ BB i AJ
პრობლემა	pʼ AN r BA ɔ AK b AL l AC ɛ AJ m AD ɑ AJ
პრობლემამ	pʼ AN r BA ɔ AK b AL l AC ɛ AJ m AD ɑ AJ m AD
პრობლემას	pʼ AN r BA ɔ AK b AL l AC ɛ AJ m AD ɑ AJ s AG
პრობლემატურად	pʼ AN r BA ɔ AK b AL l AC ɛ AJ m AD ɑ AJ tʼ BB u AK r BA ɑ AJ d AH
პრობლემატური	pʼ AN r BA ɔ AK b AL l AC ɛ AJ m AD ɑ AJ tʼ BB u AK r BA i AJ
პროგნოზი	pʼ AN r BA ɔ AK ɡ BD n AE ɔ AK z AG i AJ
პროგრამა	pʼ AN r BA ɔ AK ɡ BD r BA ɑ AJ m AD ɑ AJ
პროგრესი	pʼ AN r BA ɔ AK ɡ BD r BA ɛ AJ s AG i AJ
პროგრესულად	pʼ AN r BA ɔ AK ɡ BD r BA ɛ AJ s AG u AK l AC ɑ AJ d AH
პროგრესული	pʼ AN r BA ɔ AK ɡ BD r BA ɛ AJ s AG u AK l AC i AJ
პროგრესულობა	pʼ AN r BA ɔ AK ɡ BD r BA ɛ AJ s AG u AK l AC ɔ AK b AL ɑ AJ
პროდიუსერი	pʼ AN r BA ɔ AK d AH i AJ u AK s AG ɛ AJ r BA i AJ
პროდუქტი	pʼ AN r BA ɔ AK d AH u AK kʰ AB tʼ BB i AJ
პროდუქტიულად	pʼ AN r BA ɔ AK d AH u AK kʰ AB tʼ BB i AJ u AK l AC ɑ AJ d AH
პროდუქტიული	pʼ AN r BA ɔ AK d AH u AK kʰ AB tʼ BB i AJ u AK l AC i AJ
პროდუქცია	pʼ AN r BA ɔ AK d AH u AK kʰ AB t AH s AG i AJ ɑ AJ
პროექტი	pʼ AN r BA ɔ AK ɛ AJ kʰ AB tʼ BB i AJ
პროვიდენციალურად	pʼ AN r BA ɔ AK v BE i AJ d AH ɛ AJ n AE t AH s AG i AJ ɑ AJ l AC u AK r BA ɑ AJ d AH
პროვიზია	pʼ AN r BA ɔ AK v BE i AJ z AG i AJ ɑ AJ
პროვინცი	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ
პროვინცია	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ ɑ AJ
პროვინციად	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ ɑ AJ d AH
პროვინციალი	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ ɑ AJ l AC i AJ
პროვინციამ	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ ɑ AJ m AD
პროვინციას	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ ɑ AJ s AG
პროვინციით	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ i AJ tʰ AI
პროვინციის	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ i AJ s AG
პროვინციულად	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ u AK l AC ɑ AJ d AH
პროვინციული	pʼ AN r BA ɔ AK v BE i AJ n AE t AH s AG i AJ u AK l AC i AJ
პროვოკატორი	pʼ AN r BA ɔ AK v BE ɔ AK kʼ AM ɑ AJ tʼ BB ɔ AK r BA i AJ
პროვოკაცია	pʼ AN r BA ɔ AK v BE ɔ AK kʼ AM ɑ AJ t AH s AG i AJ ɑ AJ
პროზა	pʼ AN r BA ɔ AK z AG ɑ AJ
პროზაიკულად	pʼ AN r BA ɔ AK z AG ɑ AJ i AJ kʼ AM u AK l AC ɑ AJ d AH
პროზაიკული	pʼ AN r BA ɔ AK z AG ɑ AJ i AJ kʼ AM u AK l AC i AJ
პროზაულად	pʼ AN r BA ɔ AK z AG ɑ AJ u AK l AC ɑ AJ d AH
პროზაული	pʼ AN r BA ɔ AK z AG ɑ AJ u AK l AC i AJ
პროზაულობა	pʼ AN r BA ɔ AK z AG ɑ AJ u AK l AC ɔ AK b AL ɑ AJ
პროზელიტი	pʼ AN r BA ɔ AK z AG ɛ AJ l AC i AJ tʼ BB i AJ
პროზექტორი	pʼ AN r BA ɔ AK z AG ɛ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
პროკონსული	pʼ AN r BA ɔ AK kʼ AM ɔ AK n AE s AG u AK l AC i AJ
პროკურორი	pʼ AN r BA ɔ AK kʼ AM u AK r BA ɔ AK r BA i AJ
პროლეტარი	pʼ AN r BA ɔ AK l AC ɛ AJ tʼ BB ɑ AJ r BA i AJ
პროლეტარიატი	pʼ AN r BA ɔ AK l AC ɛ AJ tʼ BB ɑ AJ r BA i AJ ɑ AJ tʼ BB i AJ
პროლეტარული	pʼ AN r BA ɔ AK l AC ɛ AJ tʼ BB ɑ AJ r BA u AK l AC i AJ
პროლოგი	pʼ AN r BA ɔ AK l AC ɔ AK ɡ BD i AJ
პრომეთიუმი	pʼ AN r BA ɔ AK m AD ɛ AJ tʰ AI i AJ u AK m AD i AJ
პროპაგანდა	pʼ AN r BA ɔ AK pʼ AN ɑ AJ ɡ BD ɑ AJ n AE d AH ɑ AJ
პროპორცია	pʼ AN r BA ɔ AK pʼ AN ɔ AK r BA t AH s AG i AJ ɑ AJ
პროპორციონალურად	pʼ AN r BA ɔ AK pʼ AN ɔ AK r BA t AH s AG i AJ ɔ AK n AE ɑ AJ l AC u AK r BA ɑ AJ d AH
პროპორციული	pʼ AN r BA ɔ AK pʼ AN ɔ AK r BA t AH s AG i AJ u AK l AC i AJ
პროჟექტორი	pʼ AN r BA ɔ AK ʒ AG ɛ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
პროსოდია	pʼ AN r BA ɔ AK s AG ɔ AK d AH i AJ ɑ AJ
პროსპექტი	pʼ AN r BA ɔ AK s AG pʼ AN ɛ AJ kʰ AB tʼ BB i AJ
პროსტიტუცია	pʼ AN r BA ɔ AK s AG tʼ BB i AJ tʼ BB u AK t AH s AG i AJ ɑ AJ
პროსტრაცია	pʼ AN r BA ɔ AK s AG tʼ BB r BA ɑ AJ t AH s AG i AJ ɑ AJ
პროტაქტინიუმი	pʼ AN r BA ɔ AK tʼ BB ɑ AJ kʰ AB tʼ BB i AJ n AE i AJ u AK m AD i AJ
პროტეინი	pʼ AN r BA ɔ AK tʼ BB ɛ AJ i AJ n AE i AJ
პროტეჟე	pʼ AN r BA ɔ AK tʼ BB ɛ AJ ʒ AG ɛ AJ
პროტესტანტიზმი	pʼ AN r BA ɔ AK tʼ BB ɛ AJ s AG tʼ BB ɑ AJ n AE tʼ BB i AJ z AG m AD i AJ
პროტესტი	pʼ AN r BA ɔ AK tʼ BB ɛ AJ s AG tʼ BB i AJ
პროტექტორატი	pʼ AN r BA ɔ AK tʼ BB ɛ AJ kʰ AB tʼ BB ɔ AK r BA ɑ AJ tʼ BB i AJ
პროტექტორი	pʼ AN r BA ɔ AK tʼ BB ɛ AJ kʰ AB tʼ BB ɔ AK r BA i AJ
პროტოზოა	pʼ AN r BA ɔ AK tʼ BB ɔ AK z AG ɔ AK ɑ AJ
პროტოკოლი	pʼ AN r BA ɔ AK tʼ BB ɔ AK kʼ AM ɔ AK l AC i AJ
პროტონი	pʼ AN r BA ɔ AK tʼ BB ɔ AK n AE i AJ
პროტოტიპი	pʼ AN r BA ɔ AK tʼ BB ɔ AK tʼ BB i AJ pʼ AN i AJ
პროფანაცია	pʼ AN r BA ɔ AK pʰ AF ɑ AJ n AE ɑ AJ t AH s AG i AJ ɑ AJ
პროფანი	pʼ AN r BA ɔ AK pʰ AF ɑ AJ n AE i AJ
პროფესია	pʼ AN r BA ɔ AK pʰ AF ɛ AJ s AG i AJ ɑ AJ
პროფესიონალი	pʼ AN r BA ɔ AK pʰ AF ɛ AJ s AG i AJ ɔ AK n AE ɑ AJ l AC i AJ
პროფესიულად	pʼ AN r BA ɔ AK pʰ AF ɛ AJ s AG i AJ u AK l AC ɑ AJ d AH
პროფესიული	pʼ AN r BA ɔ AK pʰ AF ɛ AJ s AG i AJ u AK l AC i AJ
პროფესორი	pʼ AN r BA ɔ AK pʰ AF ɛ AJ s AG ɔ AK r BA i AJ
პროფესურა	pʼ AN r BA ɔ AK pʰ AF ɛ AJ s AG u AK r BA ɑ AJ
პროფილაქტიკა	pʼ AN r BA ɔ AK pʰ AF i AJ l AC ɑ AJ kʰ AB tʼ BB i AJ kʼ AM ɑ AJ
პროფილი	pʼ AN r BA ɔ AK pʰ AF i AJ l AC i AJ
პროფკავშირი	pʼ AN r BA ɔ AK pʰ AF kʼ AM ɑ AJ v BE ʃ AG i AJ r BA i AJ
პროცედურული	pʼ AN r BA ɔ AK t AH s AG ɛ AJ d AH u AK r BA u AK l AC i AJ
პროცენტი	pʼ AN r BA ɔ AK t AH s AG ɛ AJ n AE tʼ BB i AJ
პროცესი	pʼ AN r BA ɔ AK t AH s AG ɛ AJ s AG i AJ
პროცესია	pʼ AN r BA ɔ AK t AH s AG ɛ AJ s AG i AJ ɑ AJ
პროცესორი	pʼ AN r BA ɔ AK t AH s AG ɛ AJ s AG ɔ AK r BA i AJ
პროჭი	pʼ AN r BA ɔ AK t AH ʃʼ BF i AJ
პრუსიული	pʼ AN r BA u AK s AG i AJ u AK l AC i AJ
პუბლიკა	pʼ AN u AK b AL l AC i AJ kʼ AM ɑ AJ
პუბლიკაცია	pʼ AN u AK b AL l AC i AJ kʼ AM ɑ AJ t AH s AG i AJ ɑ AJ
პუბლიცისტი	pʼ AN u AK b AL l AC i AJ t AH s AG i AJ s AG tʼ BB i AJ
პუდელი	pʼ AN u AK d AH ɛ AJ l AC i AJ
პუდინგი	pʼ AN u AK d AH i AJ n AE ɡ BD i AJ
პულიმიოტი	pʼ AN u AK l AC i AJ m AD i AJ ɔ AK tʼ BB i AJ
პულოვერი	pʼ AN u AK l AC ɔ AK v BE ɛ AJ r BA i AJ
პულსაცია	pʼ AN u AK l AC s AG ɑ AJ t AH s AG i AJ ɑ AJ
პულსი	pʼ AN u AK l AC s AG i AJ
პუნქტი	pʼ AN u AK n AE kʰ AB tʼ BB i AJ
პუნქტობრივად	pʼ AN u AK n AE kʰ AB tʼ BB ɔ AK b AL r BA i AJ v BE ɑ AJ d AH
პუნქტუალობა	pʼ AN u AK n AE kʰ AB tʼ BB u AK ɑ AJ l AC ɔ AK b AL ɑ AJ
პუნქტუალურად	pʼ AN u AK n AE kʰ AB tʼ BB u AK ɑ AJ l AC u AK r BA ɑ AJ d AH
პუნქტუალური	pʼ AN u AK n AE kʰ AB tʼ BB u AK ɑ AJ l AC u AK r BA i AJ
პუნქტუაცია	pʼ AN u AK n AE kʰ AB tʼ BB u AK ɑ AJ t AH s AG i AJ ɑ AJ
პუნში	pʼ AN u AK n AE ʃ AG i AJ
პური	pʼ AN u AK r BA i AJ
პურიტანიზმი	pʼ AN u AK r BA i AJ tʼ BB ɑ AJ n AE i AJ z AG m AD i AJ
პურიტანულად	pʼ AN u AK r BA i AJ tʼ BB ɑ AJ n AE u AK l AC ɑ AJ d AH
პურიტანული	pʼ AN u AK r BA i AJ tʼ BB ɑ AJ n AE u AK l AC i AJ
პუტჩი	pʼ AN u AK tʼ BB t AH ʃ AG i AJ
პყრობა	pʼ AN qʼ AM r BA ɔ AK b AL ɑ AJ
ჟაბო	ʒ AG ɑ AJ b AL ɔ AK
ჟაკეტი	ʒ AG ɑ AJ kʼ AM ɛ AJ tʼ BB i AJ
ჟალუზი	ʒ AG ɑ AJ l AC u AK z AG i AJ
ჟამი	ʒ AG ɑ AJ m AD i AJ
ჟანგავს	ʒ AG ɑ AJ n AE ɡ BD ɑ AJ v BE s AG
ჟანგბადი	ʒ AG ɑ AJ n AE ɡ BD b AL ɑ AJ d AH i AJ
ჟანგი	ʒ AG ɑ AJ n AE ɡ BD i AJ
ჟანგიანი	ʒ AG ɑ AJ n AE ɡ BD i AJ ɑ AJ n AE i AJ
ჟანგმიწა	ʒ AG ɑ AJ n AE ɡ BD m AD i AJ t AH sʼ BF ɑ AJ
ჟანდარმერია	ʒ AG ɑ AJ n AE d AH ɑ AJ r BA m AD ɛ AJ r BA i AJ ɑ AJ
ჟანდარმი	ʒ AG ɑ AJ n AE d AH ɑ AJ r BA m AD i AJ
ჟანრი	ʒ AG ɑ AJ n AE r BA i AJ
ჟარგონი	ʒ AG ɑ AJ r BA ɡ BD ɔ AK n AE i AJ
ჟასმინი	ʒ AG ɑ AJ s AG m AD i AJ n AE i AJ
ჟელატინი	ʒ AG ɛ AJ l AC ɑ AJ tʼ BB i AJ n AE i AJ
ჟელე	ʒ AG ɛ AJ l AC ɛ AJ
ჟენევა	ʒ AG ɛ AJ n AE ɛ AJ v BE ɑ AJ
ჟესტი	ʒ AG ɛ AJ s AG tʼ BB i AJ
ჟესტიკულაცია	ʒ AG ɛ AJ s AG tʼ BB i AJ kʼ AM u AK l AC ɑ AJ t AH s AG i AJ ɑ AJ
ჟვანია	ʒ AG v BE ɑ AJ n AE i AJ ɑ AJ
ჟილეტი	ʒ AG i AJ l AC ɛ AJ tʼ BB i AJ
