あ	a̠ AJ
じょうず	d AH ʑ BC o̞ː AL z AG ɨᵝ
じょうせい	d AH ʑ BC o̞ː AL s AG e̞ː AK
じょうたい	d AH ʑ BC o̞ː AL t AH a̠ AJ i AJ
じょうたいか	d AH ʑ BC o̞ː AL t AH a̠ AJ i AJ k AC a̠ AJ
じょうだん	d AH ʑ BC o̞ː AL d AH ã̠ ɴ AI
じょうちゅう	d AH ʑ BC o̞ː AL t AH ɕ BC ɨᵝː
じょうちょう	d AH ʑ BC o̞ː AL t AH ɕ BC o̞ː AL
じょうでき	d AH ʑ BC o̞ː AL d AH e̞ AJ kʲ AC i AJ
じょうと	d AH ʑ BC o̞ː AL t AH o̞ AM
じょうとう	d AH ʑ BC o̞ː AL t AH o̞ː AL
じょうとうく	d AH ʑ BC o̞ː AL t AH o̞ː AL k AC ɯ̟ᵝ
じょうとうしゅだん	d AH ʑ BC o̞ː AL t AH o̞ː AL ɕ BC ɨᵝ d AH ã̠ ɴ AI
じょうねつ	d AH ʑ BC o̞ː AL n AE e̞ AJ t AH s AG ɨᵝ
じょうねん	d AH ʑ BC o̞ː AL n AE ẽ̞ ɴ AI
じょうはつ	d AH ʑ BC o̞ː AL h AA a̠ AJ t AH s AG ɨᵝ
じょうはんしんはだか	d AH ʑ BC o̞ː AL h AA ã̠ ɰ̃ AB ɕ BC ĩ ɰ̃ AB h AA a̠ AJ d AH a̠ AJ k AC a̠ AJ
じょうふ	d AH ʑ BC o̞ː AL ɸ BE ɯ̟ᵝ
じょうふう	d AH ʑ BC o̞ː AL ɸ BE ɯ̟ᵝː
じょうへき	d AH ʑ BC o̞ː AL h AA e̞ AJ kʲ AC i AJ
じょうほ	d AH ʑ BC o̞ː AL h AA o̞ AM
じょうほう	d AH ʑ BC o̞ː AL h AA o̞ː AL
じょうほうかがく	d AH ʑ BC o̞ː AL h AA o̞ː AL k AC a̠ AJ ɡ AC a̠ AJ k AC ɯ̟ᵝ
じょうほうけんさく	d AH ʑ BC o̞ː AL h AA o̞ː AL k AC ẽ̞ ɰ̃ AB s AG a̠ AJ k AC ɯ̟ᵝ
じょうほうりろん	d AH ʑ BC o̞ː AL h AA o̞ː AL ɾʲ BI i AJ ɾ BB õ̞ ɴ AI
じょうまえ	d AH ʑ BC o̞ː AL m AD a̠ AJ e̞ AJ
じょうまえや	d AH ʑ BC o̞ː AL m AD a̠ AJ e̞ AJ j AB a̠ AJ
じょうみゃく	d AH ʑ BC o̞ː AL mʲ BG a̠ AJ k AC ɯ̟ᵝ
じょうみゃくちゅうしゃ	d AH ʑ BC o̞ː AL mʲ BG a̠ AJ k AC ɯ̟ᵝ t AH ɕ BC ɨᵝː ɕ BC a̠ AJ
じょうむいん	d AH ʑ BC o̞ː AL m AD ɯ̟ᵝ ĩ ɴ AI
じょうもん	d AH ʑ BC o̞ː AL m AD õ̞ ɴ AI
じょうやく	d AH ʑ BC o̞ː AL j AB a̠ AJ k AC ɯ̟ᵝ
じょうよ	d AH ʑ BC o̞ː AL j AB o̞ AM
じょうようかんじ	d AH ʑ BC o̞ː AL j AB o̞ː AL k AC ã̠ ɲ̟ BF d AH ʑ BC i AJ
じょうようがいかんじ	d AH ʑ BC o̞ː AL j AB o̞ː AL ɡ AC a̠ AJ i AJ k AC ã̠ ɲ̟ BF d AH ʑ BC i AJ
じょうようしゅだん	d AH ʑ BC o̞ː AL j AB o̞ː AL ɕ BC ɨᵝ d AH ã̠ ɴ AI
じょうようたいすう	d AH ʑ BC o̞ː AL j AB o̞ː AL t AH a̠ AJ i AJ s AG ɨᵝː
じょうよく	d AH ʑ BC o̞ː AL j AB o̞ AM k AC ɯ̟ᵝ
じょうら	d AH ʑ BC o̞ː AL ɾ BB a̠ AJ
じょうり	d AH ʑ BC o̞ː AL ɾʲ BI i AJ
じょうりゅう	d AH ʑ BC o̞ː AL ɾʲ BI ɨᵝː
じょうりょくこうぼく	d AH ʑ BC o̞ː AL ɾʲ BI o̞ AM k AC ɯ̟ᵝ k AC o̞ː AL b AF o̞ AM k AC ɯ̟ᵝ
じょうるり	d AH ʑ BC o̞ː AL ɾ BB ɯ̟ᵝ ɾʲ BI i AJ
じょうれい	d AH ʑ BC o̞ː AL ɾ BB e̞ː AK
じょうれん	d AH ʑ BC o̞ː AL ɾ BB ẽ̞ ɴ AI
じょうろ	d AH ʑ BC o̞ː AL ɾ BB o̞ AM
じょうわ	d AH ʑ BC o̞ː AL ɰᵝ a̠ AJ
じょうわんこつ	d AH ʑ BC o̞ː AL ɰᵝ ã̠ ŋ AI k AC o̞ AM t AH s AG ɨᵝ
じょうわんにとうきん	d AH ʑ BC o̞ː AL ɰᵝ ã̠ ɲ̟ BF ɲ̟ BF i AJ t AH o̞ː AL kʲ AC ĩ ɴ AI
じょおう	d AH ʑ BC o̞ AM o̞ː AL
じょがい	d AH ʑ BC o̞ AM ɡ AC a̠ AJ i AJ
じょがくせい	d AH ʑ BC o̞ AM ɡ AC a̠ AJ k AC ɯ̟̊ᵝ s AG e̞ː AK
じょきょうじゅ	d AH ʑ BC o̞ AM kʲ AC o̞ː AL ʑ BC ɨᵝ
じょきょく	d AH ʑ BC o̞ AM kʲ AC o̞ AM k AC ɯ̟ᵝ
じょきん	d AH ʑ BC o̞ AM kʲ AC ĩ ɴ AI
じょげん	d AH ʑ BC o̞ AM ɡ AC ẽ̞ ɴ AI
じょこう	d AH ʑ BC o̞ AM k AC o̞ː AL
じょことば	d AH ʑ BC o̞ AM k AC o̞ AM t AH o̞ AM b AF a̠ AJ
じょさん	d AH ʑ BC o̞ AM s AG ã̠ ɴ AI
じょさんし	d AH ʑ BC o̞ AM s AG ã̠ ɰ̃ AB ɕ BC i AJ
じょさんぷ	d AH ʑ BC o̞ AM s AG ã̠ m AD p AF ɯ̟ᵝ
じょし	d AH ʑ BC o̞ AM ɕ BC i AJ
じょしこうこうせい	d AH ʑ BC o̞ AM ɕ BC i AJ k AC o̞ː AL k AC o̞ː AL s AG e̞ː AK
じょしゅ	d AH ʑ BC o̞ AM ɕ BC ɨᵝ
じょしゅせき	d AH ʑ BC o̞ AM ɕ BC ɨᵝ s AG e̞ AJ kʲ AC i AJ
じょしょう	d AH ʑ BC o̞ AM ɕ BC o̞ː AL
じょしりょう	d AH ʑ BC o̞ AM ɕ BC i AJ ɾʲ BI o̞ː AL
じょしりょく	d AH ʑ BC o̞ AM ɕ BC i AJ ɾʲ BI o̞ AM k AC ɯ̟ᵝ
じょじ	d AH ʑ BC o̞ AM ʑ BC i AJ
じょじし	d AH ʑ BC o̞ AM ʑ BC i AJ ɕ BC i AJ
じょじゅつ	d AH ʑ BC o̞ AM ʑ BC ɨᵝ t AH s AG ɨᵝ
じょじょう	d AH ʑ BC o̞ AM ʑ BC o̞ː AL
じょじょうし	d AH ʑ BC o̞ AM ʑ BC o̞ː AL ɕ BC i AJ
じょすう	d AH ʑ BC o̞ AM s AG ɨᵝː
じょすうし	d AH ʑ BC o̞ AM s AG ɨᵝː ɕ BC i AJ
じょせい	d AH ʑ BC o̞ AM s AG e̞ː AK
じょせいご	d AH ʑ BC o̞ AM s AG e̞ː AK ɡ AC o̞ AM
じょせつ	d AH ʑ BC o̞ AM s AG e̞ AJ t AH s AG ɨᵝ
じょせつしゃ	d AH ʑ BC o̞ AM s AG e̞ AJ t AH s AG ɨᵝ ɕ BC a̠ AJ
じょそう	d AH ʑ BC o̞ AM s AG o̞ː AL
じょそうざい	d AH ʑ BC o̞ AM s AG o̞ː AL z AG a̠ AJ i AJ
じょそんだんぴ	d AH ʑ BC o̞ AM s AG õ̞ n AE d AH ã̠ m AD pʲ BH i AJ
じょたい	d AH ʑ BC o̞ AM t AH a̠ AJ i AJ
じょちょう	d AH ʑ BC o̞ AM t AH ɕ BC o̞ː AL
じょてい	d AH ʑ BC o̞ AM t AH e̞ː AK
じょねんざい	d AH ʑ BC o̞ AM n AE ẽ̞ n AE d AH z AG a̠ AJ i AJ
じょのくち	d AH ʑ BC o̞ AM n AE o̞ AM k AC ɯ̟ᵝ t AH ɕ BC i AJ
じょはきゅう	d AH ʑ BC o̞ AM h AA a̠ AJ kʲ AC ɨᵝː
じょぶん	d AH ʑ BC o̞ AM b AF ɯ̟̃ᵝ ɴ AI
じょほう	d AH ʑ BC o̞ AM h AA o̞ː AL
じょまく	d AH ʑ BC o̞ AM m AD a̠ AJ k AC ɯ̟ᵝ
じょまくしき	d AH ʑ BC o̞ AM m AD a̠ AJ k AC ɯ̟ᵝ ɕ BC i AJ kʲ AC i AJ
じょめい	d AH ʑ BC o̞ AM m AD e̞ː AK
じょゆう	d AH ʑ BC o̞ AM j AB ɯ̟ᵝː
じょれつ	d AH ʑ BC o̞ AM ɾ BB e̞ AJ t AH s AG ɨᵝ
じょろ	d AH ʑ BC o̞ AM ɾ BB o̞ AM
じょろう	d AH ʑ BC o̞ AM ɾ BB o̞ː AL
じょろうぐも	d AH ʑ BC o̞ AM ɾ BB o̞ː AL ɡ AC ɯ̟ᵝ m AD o̞ AM
じょんがら	d AH ʑ BC õ̞ ŋ AI ɡ AC a̠ AJ ɾ BB a̠ AJ
じらい	d AH ʑ BC i AJ ɾ BB a̠ AJ i AJ
じりつ	d AH ʑ BC i AJ ɾʲ BI i AJ t AH s AG ɨᵝ
じりつご	d AH ʑ BC i AJ ɾʲ BI i AJ t AH s AG ɨᵝ ɡ AC o̞ AM
じりん	d AH ʑ BC i AJ ɾʲ BI ĩ ɴ AI
じれい	d AH ʑ BC i AJ ɾ BB e̞ː AK
じれったい	d AH ʑ BC i AJ ɾ BB e̞ AJ t̚ t AH a̠ AJ i AJ
じろう	d AH ʑ BC i AJ ɾ BB o̞ː AL
じろん	d AH ʑ BC i AJ ɾ BB õ̞ ɴ AI
じわり	d AH ʑ BC i AJ ɰᵝ a̠ AJ ɾʲ BI i AJ
じん	d AH ʑ BC ĩ ɴ AI
じんい	d AH ʑ BC ĩ ɰ̃ AB i AJ
じんいてき	d AH ʑ BC ĩ ɰ̃ AB i AJ t AH e̞ AJ kʲ AC i AJ
じんいん	d AH ʑ BC ĩ ɰ̃ AB ĩ ɴ AI
じんかく	d AH ʑ BC ĩ ŋ AI k AC a̠ AJ k AC ɯ̟ᵝ
じんがい	d AH ʑ BC ĩ ŋ AI ɡ AC a̠ AJ i AJ
じんぎ	d AH ʑ BC ĩ ŋʲ AI ɡʲ AC i AJ
じんけん	d AH ʑ BC ĩ ŋ AI k AC ẽ̞ ɴ AI
じんけんひ	d AH ʑ BC ĩ ŋ AI k AC ẽ̞ ɰ̃ AB ç i AJ
じんこ	d AH ʑ BC ĩ ŋ AI k AC o̞ AM
じんこう	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL
じんこうえいせい	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL e̞ː AK s AG e̞ː AK
じんこうげんご	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL ɡ AC ẽ̞ ŋ AI ɡ AC o̞ AM
じんこうこうう	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL k AC o̞ː AL ɯ̟ᵝ
じんこうしば	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL ɕ BC i AJ b AF a̠ AJ
じんこうせいめい	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL s AG e̞ː AK m AD e̞ː AK
じんこうちのう	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL t AH ɕ BC i AJ n AE o̞ː AL
じんこうみつど	d AH ʑ BC ĩ ŋ AI k AC o̞ː AL mʲ BG i AJ t AH s AG ɨᵝ d AH o̞ AM
じんこつ	d AH ʑ BC ĩ ŋ AI k AC o̞ AM t AH s AG ɨᵝ
じんざい	d AH ʑ BC ĩ n AE d AH z AG a̠ AJ i AJ
じんしゅさべつ	d AH ʑ BC ĩ ɰ̃ AB ɕ BC ɨᵝ s AG a̠ AJ b AF e̞ AJ t AH s AG ɨᵝ
じんしゅさべつしゅぎしゃ	d AH ʑ BC ĩ ɰ̃ AB ɕ BC ɨᵝ s AG a̠ AJ b AF e̞ AJ t AH s AG ɨᵝ ɕ BC ɨᵝ ɡʲ AC i AJ ɕ BC a̠ AJ
じんしょう	d AH ʑ BC ĩ ɰ̃ AB ɕ BC o̞ː AL
じんしんこうげき	d AH ʑ BC ĩ ɰ̃ AB ɕ BC ĩ ŋ AI k AC o̞ː AL ɡ AC e̞ AJ kʲ AC i AJ
じんしんじこ	d AH ʑ BC ĩ ɰ̃ AB ɕ BC ĩ ɲ̟ BF d AH ʑ BC i AJ k AC o̞ AM
じんしんばいばい	d AH ʑ BC ĩ ɰ̃ AB ɕ BC ĩ m AD b AF a̠ AJ i AJ b AF a̠ AJ i AJ
じんじ	d AH ʑ BC ĩ ɲ̟ BF d AH ʑ BC i AJ
じんじゃ	d AH ʑ BC ĩ ɲ̟ BF d AH ʑ BC a̠ AJ
じんじゅうきょうつうかんせんしょう	d AH ʑ BC ĩ ɲ̟ BF d AH ʑ BC ɨᵝː kʲ AC o̞ː AL t AH s AG ɨᵝː k AC ã̠ ɰ̃ AB s AG ẽ̞ ɰ̃ AB ɕ BC o̞ː AL
じんずうりき	d AH ʑ BC ĩ n AE t AH s AG ɨᵝː ɾʲ BI i AJ kʲ AC i AJ
じんせい	d AH ʑ BC ĩ ɰ̃ AB s AG e̞ː AK
じんせいかん	d AH ʑ BC ĩ ɰ̃ AB s AG e̞ː AK k AC ã̠ ɴ AI
じんせん	d AH ʑ BC ĩ ɰ̃ AB s AG ẽ̞ ɴ AI
じんそく	d AH ʑ BC ĩ ɰ̃ AB s AG o̞ AM k AC ɯ̟ᵝ
じんぞう	d AH ʑ BC ĩ n AE d AH z AG o̞ː AL
じんぞうけんし	d AH ʑ BC ĩ n AE d AH z AG o̞ː AL k AC ẽ̞ ɰ̃ AB ɕ BC i AJ
じんぞうにんげん	d AH ʑ BC ĩ n AE d AH z AG o̞ː AL ɲ̟ BF ĩ ŋ AI ɡ AC ẽ̞ ɴ AI
じんたい	d AH ʑ BC ĩ n AE t AH a̠ AJ i AJ
じんだい	d AH ʑ BC ĩ n AE d AH a̠ AJ i AJ
じんち	d AH ʑ BC ĩ ɲ̟ BF t AH ɕ BC i AJ
じんちく	d AH ʑ BC ĩ ɲ̟ BF t AH ɕ BC i AJ k AC ɯ̟ᵝ
じんちくむがい	d AH ʑ BC ĩ ɲ̟ BF t AH ɕ BC i AJ k AC ɯ̟ᵝ m AD ɯ̟ᵝ ɡ AC a̠ AJ i AJ
じんちょうげ	d AH ʑ BC ĩ ɲ̟ BF t AH ɕ BC o̞ː AL ɡ AC e̞ AJ
じんつう	d AH ʑ BC ĩ n AE t AH s AG ɨᵝː
じんとく	d AH ʑ BC ĩ n AE t AH o̞ AM k AC ɯ̟ᵝ
じんどう	d AH ʑ BC ĩ n AE d AH o̞ː AL
じんどうてき	d AH ʑ BC ĩ n AE d AH o̞ː AL t AH e̞ AJ kʲ AC i AJ
じんどる	d AH ʑ BC ĩ n AE d AH o̞ AM ɾ BB ɯ̟ᵝ
じんにん	d AH ʑ BC ĩ ɲ̟ BF ɲ̟ BF ĩ ɴ AI
じんば	d AH ʑ BC ĩ m AD b AF a̠ AJ
じんばきゅう	d AH ʑ BC ĩ m AD b AF a̠ AJ kʲ AC ɨᵝː
じんぶつ	d AH ʑ BC ĩ m AD b AF ɯ̟ᵝ t AH s AG ɨᵝ
じんぶん	d AH ʑ BC ĩ m AD b AF ɯ̟̃ᵝ ɴ AI
じんぶんがく	d AH ʑ BC ĩ m AD b AF ɯ̟̃ᵝ ŋ AI ɡ AC a̠ AJ k AC ɯ̟ᵝ
じんぶんしゅぎ	d AH ʑ BC ĩ m AD b AF ɯ̟̃ᵝ ɰ̃ AB ɕ BC ɨᵝ ɡʲ AC i AJ
じんべい	d AH ʑ BC ĩ m AD b AF e̞ː AK
じんべいざめ	d AH ʑ BC ĩ m AD b AF e̞ː AK z AG a̠ AJ m AD e̞ AJ
じんべえ	d AH ʑ BC ĩ m AD b AF e̞ AJ e̞ AJ
じんべえざめ	d AH ʑ BC ĩ m AD b AF e̞ AJ e̞ AJ z AG a̠ AJ m AD e̞ AJ
じんぼう	d AH ʑ BC ĩ m AD b AF o̞ː AL
じんみん	d AH ʑ BC ĩ mʲː BK ĩ ɴ AI
じんみんみんしゅどくさい	d AH ʑ BC ĩ mʲː BK ĩ mʲː BK ĩ ɰ̃ AB ɕ BC ɨᵝ d AH o̞ AM k AC ɯ̟ᵝ s AG a̠ AJ i AJ
じんめい	d AH ʑ BC ĩ mː AN e̞ː AK
じんめいようかんじ	d AH ʑ BC ĩ mː AN e̞ː AK j AB o̞ː AL k AC ã̠ ɲ̟ BF d AH ʑ BC i AJ
じんめんぎょ	d AH ʑ BC ĩ mː AN ẽ̞ ŋʲ AI ɡʲ AC o̞ AM
じんもん	d AH ʑ BC ĩ mː AN õ̞ ɴ AI
じんらい	d AH ʑ BC ĩ n AE ɾ BB a̠ AJ i AJ
じんりきしゃ	d AH ʑ BC ĩ n AE ɾʲ BI i AJ kʲ AC i̥ AJ ɕ BC a̠ AJ
じんりょく	d AH ʑ BC ĩ n AE ɾʲ BI o̞ AM k AC ɯ̟ᵝ
じんるい	d AH ʑ BC ĩ n AE ɾ BB ɯ̟ᵝ i AJ
じんるいがく	d AH ʑ BC ĩ n AE ɾ BB ɯ̟ᵝ i AJ ɡ AC a̠ AJ k AC ɯ̟ᵝ
じんわ	d AH ʑ BC ĩ ɰ̃ AB ɰᵝ a̠ AJ
す	s AG ɨᵝ
すあし	s AG ɨᵝ a̠ AJ ɕ BC i AJ
すい	s AG ɨᵝ i AJ
すいあげる	s AG ɨᵝ i AJ a̠ AJ ɡ AC e̞ AJ ɾ BB ɯ̟ᵝ
すいあつ	s AG ɨᵝ i AJ a̠ AJ t AH s AG ɨᵝ
すいい	s AG ɨᵝ iː AK
すいいき	s AG ɨᵝ i AJ i AJ kʲ AC i AJ
すいうん	s AG ɨᵝ i AJ ɯ̟̃ᵝ ɴ AI
すいえい	s AG ɨᵝ i AJ e̞ː AK
すいおん	s AG ɨᵝ i AJ õ̞ ɴ AI
すいか	s AG ɨᵝ i AJ k AC a̠ AJ
すいかとう	s AG ɨᵝ i AJ k AC a̠ AJ t AH o̞ː AL
すいかわり	s AG ɨᵝ i AJ k AC a̠ AJ ɰᵝ a̠ AJ ɾʲ BI i AJ
すいかん	s AG ɨᵝ i AJ k AC ã̠ ɴ AI
すいがい	s AG ɨᵝ i AJ ɡ AC a̠ AJ i AJ
すいがら	s AG ɨᵝ i AJ ɡ AC a̠ AJ ɾ BB a̠ AJ
すいがん	s AG ɨᵝ i AJ ɡ AC ã̠ ɴ AI
すいきゅう	s AG ɨᵝ i AJ kʲ AC ɨᵝː
すいぎゅう	s AG ɨᵝ i AJ ɡʲ AC ɨᵝː
すいぎょうざ	s AG ɨᵝ i AJ ɡʲ AC o̞ː AL z AG a̠ AJ
すいぎん	s AG ɨᵝ i AJ ɡʲ AC ĩ ɴ AI
すいけい	s AG ɨᵝ i AJ k AC e̞ː AK
すいけん	s AG ɨᵝ i AJ k AC ẽ̞ ɴ AI
すいげん	s AG ɨᵝ i AJ ɡ AC ẽ̞ ɴ AI
すいげんち	s AG ɨᵝ i AJ ɡ AC ẽ̞ ɲ̟ BF t AH ɕ BC i AJ
すいこう	s AG ɨᵝ i AJ k AC o̞ː AL
すいこでん	s AG ɨᵝ i AJ k AC o̞ AM d AH ẽ̞ ɴ AI
すいこみ	s AG ɨᵝ i AJ k AC o̞ AM mʲ BG i AJ
すいこむ	s AG ɨᵝ i AJ k AC o̞ AM m AD ɯ̟ᵝ
すいさい	s AG ɨᵝ i AJ s AG a̠ AJ i AJ
すいさいが	s AG ɨᵝ i AJ s AG a̠ AJ i AJ ɡ AC a̠ AJ
すいさつ	s AG ɨᵝ i AJ s AG a̠ AJ t AH s AG ɨᵝ
すいさん	s AG ɨᵝ i AJ s AG ã̠ ɴ AI
すいさんか	s AG ɨᵝ i AJ s AG ã̠ ŋ AI k AC a̠ AJ
すいさんき	s AG ɨᵝ i AJ s AG ã̠ ŋʲ AI kʲ AC i AJ
すいしたい	s AG ɨᵝ i AJ ɕ BC i AJ t AH a̠ AJ i AJ
すいしつ	s AG ɨᵝ i AJ ɕ BC i̥ AJ t AH s AG ɨᵝ
すいしつおせん	s AG ɨᵝ i AJ ɕ BC i AJ t AH s AG ɨᵝ o̞ AM s AG ẽ̞ ɴ AI
すいしゃ	s AG ɨᵝ i AJ ɕ BC a̠ AJ
すいしゅ	s AG ɨᵝ i AJ ɕ BC ɨᵝ
すいしょう	s AG ɨᵝ i AJ ɕ BC o̞ː AL
すいしょうきゅう	s AG ɨᵝ i AJ ɕ BC o̞ː AL kʲ AC ɨᵝː
すいしょうたい	s AG ɨᵝ i AJ ɕ BC o̞ː AL t AH a̠ AJ i AJ
すいしん	s AG ɨᵝ i AJ ɕ BC ĩ ɴ AI
すいしんき	s AG ɨᵝ i AJ ɕ BC ĩ ŋʲ AI kʲ AC i AJ
すいじ	s AG ɨᵝ i AJ ʑ BC i AJ
すいじゃく	s AG ɨᵝ i AJ ʑ BC a̠ AJ k AC ɯ̟ᵝ
すいじゅん	s AG ɨᵝ i AJ ʑ BC ɨ̃ᵝ ɴ AI
すいじょう	s AG ɨᵝ i AJ ʑ BC o̞ː AL
すいじょうき	s AG ɨᵝ i AJ ʑ BC o̞ː AL kʲ AC i AJ
すいじょうきょうぎ	s AG ɨᵝ i AJ ʑ BC o̞ː AL kʲ AC o̞ː AL ɡʲ AC i AJ
すいじん	s AG ɨᵝ i AJ ʑ BC ĩ ɴ AI
すいせい	s AG ɨᵝ i AJ s AG e̞ː AK
すいせいがん	s AG ɨᵝ i AJ s AG e̞ː AK ɡ AC ã̠ ɴ AI
すいせき	s AG ɨᵝ i AJ s AG e̞ AJ kʲ AC i AJ
すいせん	s AG ɨᵝ i AJ s AG ẽ̞ ɴ AI
すいせんじょう	s AG ɨᵝ i AJ s AG ẽ̞ ɲ̟ BF d AH ʑ BC o̞ː AL
すいぜん	s AG ɨᵝ i AJ z AG ẽ̞ ɴ AI
すいそ	s AG ɨᵝ i AJ s AG o̞ AM
すいそう	s AG ɨᵝ i AJ s AG o̞ː AL
すいそうがく	s AG ɨᵝ i AJ s AG o̞ː AL ɡ AC a̠ AJ k AC ɯ̟ᵝ
すいそか	s AG ɨᵝ i AJ s AG o̞ AM k AC a̠ AJ
すいそく	s AG ɨᵝ i AJ s AG o̞ AM k AC ɯ̟ᵝ
すいそばくだん	s AG ɨᵝ i AJ s AG o̞ AM b AF a̠ AJ k AC ɯ̟ᵝ d AH ã̠ ɴ AI
すいぞう	s AG ɨᵝ i AJ z AG o̞ː AL
すいぞくかん	s AG ɨᵝ i AJ z AG o̞ AM k AC ɯ̟̊ᵝ k AC ã̠ ɴ AI
すいたい	s AG ɨᵝ i AJ t AH a̠ AJ i AJ
すいたいさいぼう	s AG ɨᵝ i AJ t AH a̠ AJ i AJ s AG a̠ AJ i AJ b AF o̞ː AL
すいちゅう	s AG ɨᵝ i AJ t AH ɕ BC ɨᵝː
すいちょく	s AG ɨᵝ i AJ t AH ɕ BC o̞ AM k AC ɯ̟ᵝ
すいつく	s AG ɨᵝ i AJ t AH s AG ɨᵝ k AC ɯ̟ᵝ
すいてい	s AG ɨᵝ i AJ t AH e̞ː AK
すいてき	s AG ɨᵝ i AJ t AH e̞ AJ kʲ AC i AJ
すいでん	s AG ɨᵝ i AJ d AH ẽ̞ ɴ AI
すいとう	s AG ɨᵝ i AJ t AH o̞ː AL
すいとうがかり	s AG ɨᵝ i AJ t AH o̞ː AL ɡ AC a̠ AJ k AC a̠ AJ ɾʲ BI i AJ
すいとりがみ	s AG ɨᵝ i AJ t AH o̞ AM ɾʲ BI i AJ ɡ AC a̠ AJ mʲ BG i AJ
すいとる	s AG ɨᵝ i AJ t AH o̞ AM ɾ BB ɯ̟ᵝ
すいどう	s AG ɨᵝ i AJ d AH o̞ː AL
すいどうきょう	s AG ɨᵝ i AJ d AH o̞ː AL kʲ AC o̞ː AL
すいはん	s AG ɨᵝ i AJ h AA ã̠ ɴ AI
すいはんき	s AG ɨᵝ i AJ h AA ã̠ ŋʲ AI kʲ AC i AJ
すいばく	s AG ɨᵝ i AJ b AF a̠ AJ k AC ɯ̟ᵝ
すいふ	s AG ɨᵝ i AJ ɸ BE ɯ̟ᵝ
すいぶん	s AG ɨᵝ i AJ b AF ɯ̟̃ᵝ ɴ AI
すいへい	s AG ɨᵝ i AJ h AA e̞ː AK
すいへいせん	s AG ɨᵝ i AJ h AA e̞ː AK s AG ẽ̞ ɴ AI
すいほう	s AG ɨᵝ i AJ h AA o̞ː AL
すいほうにきす	s AG ɨᵝ i AJ h AA o̞ː AL ɲ̟ BF i AJ kʲ AC i AJ s AG ɨᵝ
すいぼう	s AG ɨᵝ i AJ b AF o̞ː AL
すいぼくが	s AG ɨᵝ i AJ b AF o̞ AM k AC ɯ̟ᵝ ɡ AC a̠ AJ
すいみん	s AG ɨᵝ i AJ mʲ BG ĩ ɴ AI
すいみんぶそく	s AG ɨᵝ i AJ mʲ BG ĩ m AD b AF ɯ̟ᵝ s AG o̞ AM k AC ɯ̟ᵝ
すいみんやく	s AG ɨᵝ i AJ mʲ BG ĩ ɰ̃ AB j AB a̠ AJ k AC ɯ̟ᵝ
すいめん	s AG ɨᵝ i AJ m AD ẽ̞ ɴ AI
すいもん	s AG ɨᵝ i AJ m AD õ̞ ɴ AI
すいもんがく	s AG ɨᵝ i AJ m AD õ̞ ŋ AI ɡ AC a̠ AJ k AC ɯ̟ᵝ
すいやく	s AG ɨᵝ i AJ j AB a̠ AJ k AC ɯ̟ᵝ
すいよう	s AG ɨᵝ i AJ j AB o̞ː AL
すいようえき	s AG ɨᵝ i AJ j AB o̞ː AL e̞ AJ kʲ AC i AJ
すいようび	s AG ɨᵝ i AJ j AB o̞ː AL bʲ BH i AJ
すいらい	s AG ɨᵝ i AJ ɾ BB a̠ AJ i AJ
すいり	s AG ɨᵝ i AJ ɾʲ BI i AJ
すいりゅう	s AG ɨᵝ i AJ ɾʲ BI ɨᵝː
すいりゅうき	s AG ɨᵝ i AJ ɾʲ BI ɨᵝː kʲ AC i AJ
すいりょう	s AG ɨᵝ i AJ ɾʲ BI o̞ː AL
すいりょうけい	s AG ɨᵝ i AJ ɾʲ BI o̞ː AL k AC e̞ː AK
すいりょく	s AG ɨᵝ i AJ ɾʲ BI o̞ AM k AC ɯ̟ᵝ
すいれん	s AG ɨᵝ i AJ ɾ BB ẽ̞ ɴ AI
すいろ	s AG ɨᵝ i AJ ɾ BB o̞ AM
すいろきょう	s AG ɨᵝ i AJ ɾ BB o̞ AM kʲ AC o̞ː AL
すいろく	s AG ɨᵝ i AJ ɾ BB o̞ AM k AC ɯ̟ᵝ
すいろん	s AG ɨᵝ i AJ ɾ BB õ̞ ɴ AI
すう	s AG ɨᵝ ɯ̟ᵝ
すうがく	s AG ɨᵝː ɡ AC a̠ AJ k AC ɯ̟ᵝ
すうがくしゃ	s AG ɨᵝː ɡ AC a̠ AJ k AC ɯ̟̊ᵝ ɕ BC a̠ AJ
すうき	s AG ɨᵝː kʲ AC i AJ
すうききょう	s AG ɨᵝː kʲ AC i AJ kʲ AC o̞ː AL
すうけい	s AG ɨᵝː k AC e̞ː AK
すうこう	s AG ɨᵝː k AC o̞ː AL
すうし	s AG ɨᵝː ɕ BC i AJ
すうしき	s AG ɨᵝː ɕ BC i AJ kʲ AC i AJ
すうじ	s AG ɨᵝː ʑ BC i AJ
すうじく	s AG ɨᵝː ʑ BC i AJ k AC ɯ̟ᵝ
すうじくこく	s AG ɨᵝː ʑ BC i AJ k AC ɯ̟̊ᵝ k AC o̞ AM k AC ɯ̟ᵝ
